32 3961.62
48 6350.05 6265.78
64 8536.18 8391.21
96 12770.2 12693.6
128 16267.4 15854.4
192 24132.7 23676.6
256 32489.4 32070.6
384 47264.5 46451.2
512 60224.7 59541
768 82275.4 80906.6
1024 104447 103688
1536 135947 134858
2048 163611 162619
3072 200561 196885
4096 229629 227292
6144 259607 256603
8192 282809 280916
12288 309963 302940
16384 323794 321356
24576 341628 335343
32768 348681 345401
49152 355053 335691
65536 297295 288561
98304 335131 322971
131072 350303 323233
196608 363170 362850
262144 368075 355678
393216 374448 370083
524288 378392 380640
786432 387628 385440
1048576 381516 384277
